ClassPriors	47,33,0.5875,0.4125
a	168,274,0.014494003968596325,0.0203324428613832
ab	4,0,0.0003450953325856268,0.0
abn	0,1,0.0,7.420599584446424e-05
about	8,36,0.0006901906651712536,0.0026714158504007124
above	2,5,0.0001725476662928134,0.00037102997922232116
absent	1,0,8.62738331464067e-05,0.0
absolute	0,1,0.0,7.420599584446424e-05
absorb	0,1,0.0,7.420599584446424e-05
accelerate	0,1,0.0,7.420599584446424e-05
accelerated	0,1,0.0,7.420599584446424e-05
accepted	0,1,0.0,7.420599584446424e-05
accepts	1,0,8.62738331464067e-05,0.0
accomodates	1,0,8.62738331464067e-05,0.0
account	16,13,0.0013803813303425072,0.000964677945978035
accounting	4,0,0.0003450953325856268,0.0
achieve	1,0,8.62738331464067e-05,0.0
achieved	1,0,8.62738331464067e-05,0.0
acid	0,1,0.0,7.420599584446424e-05
acquisition	0,1,0.0,7.420599584446424e-05
acrobaat	0,1,0.0,7.420599584446424e-05
across	5,4,0.0004313691657320335,0.00029682398337785694
activate	0,4,0.0,0.00029682398337785694
activities	7,0,0.0006039168320248468,0.0
actor	0,1,0.0,7.420599584446424e-05
actress	0,1,0.0,7.420599584446424e-05
actually	0,1,0.0,7.420599584446424e-05
ad	0,20,0.0,0.0014841199168892847
adapted	0,1,0.0,7.420599584446424e-05
add	2,6,0.0001725476662928134,0.0004452359750667854
adding	0,2,0.0,0.00014841199168892847
additional	11,0,0.0009490121646104736,0.0
addressed	1,0,8.62738331464067e-05,0.0
adhesion	0,1,0.0,7.420599584446424e-05
admixture	0,1,0.0,7.420599584446424e-05
adobe	0,12,0.0,0.0008904719501335708
adr	1,0,8.62738331464067e-05,0.0
adv	0,1,0.0,7.420599584446424e-05
advantage	1,0,8.62738331464067e-05,0.0
advertise	0,2,0.0,0.00014841199168892847
advertised	0,1,0.0,7.420599584446424e-05
advertisement	0,4,0.0,0.00029682398337785694
advertisments	0,1,0.0,7.420599584446424e-05
advises	1,0,8.62738331464067e-05,0.0
aec	2,0,0.0001725476662928134,0.0
aff	0,1,0.0,7.420599584446424e-05
affect	0,1,0.0,7.420599584446424e-05
affiliate	0,1,0.0,7.420599584446424e-05
afirst	0,1,0.0,7.420599584446424e-05
afraid	1,3,8.62738331464067e-05,0.0002226179875333927
against	2,1,0.0001725476662928134,7.420599584446424e-05
age	0,4,0.0,0.00029682398337785694
agendas	1,0,8.62738331464067e-05,0.0
agent	0,1,0.0,7.420599584446424e-05
aggressively	2,1,0.0001725476662928134,7.420599584446424e-05
agouti	0,1,0.0,7.420599584446424e-05
agreements	3,0,0.0002588214994392201,0.0
ahead	0,1,0.0,7.420599584446424e-05
aids	1,0,8.62738331464067e-05,0.0
airport	2,0,0.0001725476662928134,0.0
airs	0,1,0.0,7.420599584446424e-05
aka	0,1,0.0,7.420599584446424e-05
al	0,1,0.0,7.420599584446424e-05
alertness	0,1,0.0,7.420599584446424e-05
alexios	1,0,8.62738331464067e-05,0.0
alhaji	0,2,0.0,0.00014841199168892847
all	32,54,0.0027607626606850144,0.004007123775601068
allay	0,1,0.0,7.420599584446424e-05
allocate	1,0,8.62738331464067e-05,0.0
allocated	2,0,0.0001725476662928134,0.0
allocations	4,0,0.0003450953325856268,0.0
allow	4,5,0.0003450953325856268,0.00037102997922232116
alone	0,1,0.0,7.420599584446424e-05
along	0,2,0.0,0.00014841199168892847
also	24,21,0.0020705719955137606,0.001558325912733749
alternative	0,1,0.0,7.420599584446424e-05
alum	0,1,0.0,7.420599584446424e-05
always	0,6,0.0,0.0004452359750667854
americ	0,2,0.0,0.00014841199168892847
amex	0,1,0.0,7.420599584446424e-05
ami	1,0,8.62738331464067e-05,0.0
amiable	0,1,0.0,7.420599584446424e-05
amigo	0,1,0.0,7.420599584446424e-05
amitava	4,0,0.0003450953325856268,0.0
amortize	4,0,0.0003450953325856268,0.0
amounts	0,1,0.0,7.420599584446424e-05
amy	0,2,0.0,0.00014841199168892847
an	20,41,0.001725476662928134,0.0030424458296230334
and	258,277,0.022258648951772927,0.020555060848916593
andrea	3,0,0.0002588214994392201,0.0
angelova	4,0,0.0003450953325856268,0.0
anheuser	0,1,0.0,7.420599584446424e-05
anita	2,0,0.0001725476662928134,0.0
annals	0,1,0.0,7.420599584446424e-05
announcement	1,4,8.62738331464067e-05,0.00029682398337785694
annoy	0,1,0.0,7.420599584446424e-05
annoying	1,0,8.62738331464067e-05,0.0
anonymise	0,1,0.0,7.420599584446424e-05
another	6,7,0.0005176429988784402,0.0005194419709112497
answered	0,1,0.0,7.420599584446424e-05
answers	0,5,0.0,0.00037102997922232116
antivirus	0,1,0.0,7.420599584446424e-05
anyway	1,1,8.62738331464067e-05,7.420599584446424e-05
anywhere	0,3,0.0,0.0002226179875333927
anz	0,2,0.0,0.00014841199168892847
apollo	1,0,8.62738331464067e-05,0.0
apologies	1,1,8.62738331464067e-05,7.420599584446424e-05
appear	4,1,0.0003450953325856268,7.420599584446424e-05
applied	5,0,0.0004313691657320335,0.0
appreciation	2,0,0.0001725476662928134,0.0
appropriate	3,0,0.0002588214994392201,0.0
approval	0,1,0.0,7.420599584446424e-05
approved	1,4,8.62738331464067e-05,0.00029682398337785694
approximately	4,0,0.0003450953325856268,0.0
aqmd	2,0,0.0001725476662928134,0.0
aqoj	0,1,0.0,7.420599584446424e-05
arbitrage	4,0,0.0003450953325856268,0.0
architect	0,1,0.0,7.420599584446424e-05
arcy	7,0,0.0006039168320248468,0.0
area	1,1,8.62738331464067e-05,7.420599584446424e-05
argentine	4,0,0.0003450953325856268,0.0
armstrong	2,0,0.0001725476662928134,0.0
around	3,1,0.0002588214994392201,7.420599584446424e-05
arrangements	0,2,0.0,0.00014841199168892847
arrest	0,2,0.0,0.00014841199168892847
arrival	1,0,8.62738331464067e-05,0.0
art	0,2,0.0,0.00014841199168892847
articles	0,1,0.0,7.420599584446424e-05
ascii	0,1,0.0,7.420599584446424e-05
ask	2,6,0.0001725476662928134,0.0004452359750667854
asking	5,3,0.0004313691657320335,0.0002226179875333927
aspermont	0,3,0.0,0.0002226179875333927
assault	0,1,0.0,7.420599584446424e-05
assay	0,1,0.0,7.420599584446424e-05
