ClassPriors	47,33,0.5875,0.4125
a	168,274,0.010466988727858293,0.015251511286118352
ab	4,0,0.00030967422271770096,5.546004104043037e-05
abn	0,1,6.19348445435402e-05,0.00011092008208086075
about	8,36,0.0005574136008918618,0.0020520215184959235
above	2,5,0.0001858045336306206,0.00033276024624258224
absent	1,0,0.0001238696890870804,5.546004104043037e-05
absolute	0,1,6.19348445435402e-05,0.00011092008208086075
absorb	0,1,6.19348445435402e-05,0.00011092008208086075
accelerate	0,1,6.19348445435402e-05,0.00011092008208086075
accelerated	0,1,6.19348445435402e-05,0.00011092008208086075
accepted	0,1,6.19348445435402e-05,0.00011092008208086075
accepts	1,0,0.0001238696890870804,5.546004104043037e-05
accomodates	1,0,0.0001238696890870804,5.546004104043037e-05
account	16,13,0.0010528923572401833,0.0007764405745660252
accounting	4,0,0.00030967422271770096,5.546004104043037e-05
achieve	1,0,0.0001238696890870804,5.546004104043037e-05
achieved	1,0,0.0001238696890870804,5.546004104043037e-05
acid	0,1,6.19348445435402e-05,0.00011092008208086075
acquisition	0,1,6.19348445435402e-05,0.00011092008208086075
acrobaat	0,1,6.19348445435402e-05,0.00011092008208086075
across	5,4,0.0003716090672612412,0.00027730020520215184
activate	0,4,6.19348445435402e-05,0.00027730020520215184
activities	7,0,0.0004954787563483216,5.546004104043037e-05
actor	0,1,6.19348445435402e-05,0.00011092008208086075
actress	0,1,6.19348445435402e-05,0.00011092008208086075
actually	0,1,6.19348445435402e-05,0.00011092008208086075
ad	0,20,6.19348445435402e-05,0.0011646608618490378
adapted	0,1,6.19348445435402e-05,0.00011092008208086075
add	2,6,0.0001858045336306206,0.0003882202872830126
adding	0,2,6.19348445435402e-05,0.00016638012312129112
additional	11,0,0.0007432181345224824,5.546004104043037e-05
addressed	1,0,0.0001238696890870804,5.546004104043037e-05
adhesion	0,1,6.19348445435402e-05,0.00011092008208086075
admixture	0,1,6.19348445435402e-05,0.00011092008208086075
adobe	0,12,6.19348445435402e-05,0.0007209805335255948
adr	1,0,0.0001238696890870804,5.546004104043037e-05
adv	0,1,6.19348445435402e-05,0.00011092008208086075
advantage	1,0,0.0001238696890870804,5.546004104043037e-05
advertise	0,2,6.19348445435402e-05,0.00016638012312129112
advertised	0,1,6.19348445435402e-05,0.00011092008208086075
advertisement	0,4,6.19348445435402e-05,0.00027730020520215184
advertisments	0,1,6.19348445435402e-05,0.00011092008208086075
advises	1,0,0.0001238696890870804,5.546004104043037e-05
aec	2,0,0.0001858045336306206,5.546004104043037e-05
aff	0,1,6.19348445435402e-05,0.00011092008208086075
affect	0,1,6.19348445435402e-05,0.00011092008208086075
affiliate	0,1,6.19348445435402e-05,0.00011092008208086075
afirst	0,1,6.19348445435402e-05,0.00011092008208086075
afraid	1,3,0.0001238696890870804,0.0002218401641617215
against	2,1,0.0001858045336306206,0.00011092008208086075
age	0,4,6.19348445435402e-05,0.00027730020520215184
agendas	1,0,0.0001238696890870804,5.546004104043037e-05
agent	0,1,6.19348445435402e-05,0.00011092008208086075
aggressively	2,1,0.0001858045336306206,0.00011092008208086075
